,downloads,library
2024-12-27,1717967.0,matplotlib
2024-12-28,1386747.0,matplotlib
2024-12-29,1316281.0,matplotlib
2024-12-30,1851745.0,matplotlib
2024-12-31,1666691.0,matplotlib
2025-01-01,1422439.0,matplotlib
2025-01-02,2127659.0,matplotlib
2025-01-03,2101570.0,matplotlib
2025-01-04,1446252.0,matplotlib
2025-01-05,1439974.0,matplotlib
2025-01-06,2498646.0,matplotlib
2025-01-07,2643890.0,matplotlib
2025-01-08,2718641.0,matplotlib
2025-01-09,2577060.0,matplotlib
2025-01-10,2483182.0,matplotlib
2025-01-11,1563778.0,matplotlib
2025-01-12,1438839.0,matplotlib
2025-01-13,2526898.0,matplotlib
2025-01-14,2796323.0,matplotlib
2025-01-15,2741907.0,matplotlib
2025-01-16,2729570.0,matplotlib
2025-01-17,2743740.0,matplotlib
2025-01-18,1520257.0,matplotlib
2025-01-19,1418228.0,matplotlib
2025-01-20,2316599.0,matplotlib
2025-01-21,2680150.0,matplotlib
2025-01-22,2771272.0,matplotlib
2025-01-23,2601847.0,matplotlib
2025-01-24,2539825.0,matplotlib
2025-01-25,1522689.0,matplotlib
2025-01-26,1470499.0,matplotlib
2025-01-27,2601851.0,matplotlib
2025-01-28,2875618.0,matplotlib
2025-01-29,2730798.0,matplotlib
2025-01-30,2662406.0,matplotlib
2025-01-31,2620825.0,matplotlib
2025-02-01,1743835.0,matplotlib
2025-02-02,1694138.0,matplotlib
2025-02-03,2856974.0,matplotlib
2025-02-04,3133793.0,matplotlib
2025-02-05,3040888.0,matplotlib
2025-02-06,2941481.0,matplotlib
2025-02-07,3002097.0,matplotlib
2025-02-08,1921889.0,matplotlib
2025-02-09,1809485.0,matplotlib
2025-02-10,3118547.0,matplotlib
2025-02-11,2952752.0,matplotlib
2025-02-12,3046988.0,matplotlib
2025-02-13,2992493.0,matplotlib
2025-02-14,2735623.0,matplotlib
2025-02-15,1657192.0,matplotlib
2025-02-16,1617249.0,matplotlib
2025-02-17,2665345.0,matplotlib
2025-02-18,3053306.0,matplotlib
2025-02-19,3037744.0,matplotlib
2025-02-20,3066049.0,matplotlib
2025-02-21,3030061.0,matplotlib
2025-02-22,2093503.0,matplotlib
2025-02-23,1777364.0,matplotlib
2025-02-24,3158730.0,matplotlib
2025-02-25,3382258.0,matplotlib
2025-02-26,3253499.0,matplotlib
2025-02-27,3288144.0,matplotlib
2025-02-28,2956433.0,matplotlib
2025-03-01,1960682.0,matplotlib
2025-03-02,1707061.0,matplotlib
2025-03-03,2889853.0,matplotlib
2025-03-04,3332781.0,matplotlib
2025-03-05,3312126.0,matplotlib
2025-03-06,3351585.0,matplotlib
2025-03-07,3515549.0,matplotlib
2025-03-08,1801632.0,matplotlib
2025-03-09,1680950.0,matplotlib
2025-03-10,3063801.0,matplotlib
2025-03-11,3226559.0,matplotlib
2024-12-13,2869288.0,scikit-learn
2024-12-14,1946786.0,scikit-learn
2024-12-17,3146556.0,scikit-learn
2024-12-19,2821333.0,scikit-learn
2024-12-20,2611156.0,scikit-learn
2024-12-21,1983110.0,scikit-learn
2024-12-22,1929642.0,scikit-learn
2024-12-24,2178852.0,scikit-learn
2024-12-26,2164418.0,scikit-learn
2024-12-27,2188782.0,scikit-learn
2024-12-30,2252369.0,scikit-learn
2024-12-31,2074394.0,scikit-learn
2025-01-02,2424264.0,scikit-learn
2025-01-03,2361267.0,scikit-learn
2025-01-04,1848452.0,scikit-learn
2025-01-05,1840246.0,scikit-learn
2025-01-06,2692337.0,scikit-learn
2025-01-07,2900304.0,scikit-learn
2025-01-08,2863005.0,scikit-learn
2025-01-09,2776394.0,scikit-learn
2025-01-10,2762957.0,scikit-learn
2025-01-11,1934014.0,scikit-learn
2025-01-12,1871643.0,scikit-learn
2025-01-13,2742576.0,scikit-learn
2025-01-14,2934310.0,scikit-learn
2025-01-15,2881333.0,scikit-learn
2025-01-17,2888019.0,scikit-learn
2025-01-18,1915850.0,scikit-learn
2025-01-19,1871624.0,scikit-learn
2025-01-21,2924531.0,scikit-learn
2025-01-22,2924507.0,scikit-learn
2025-01-24,2717512.0,scikit-learn
2025-01-25,2034728.0,scikit-learn
2025-01-26,1976157.0,scikit-learn
2025-01-27,2861607.0,scikit-learn
2025-01-28,2970205.0,scikit-learn
2025-01-29,2849687.0,scikit-learn
2025-01-30,2796454.0,scikit-learn
2025-01-31,2738462.0,scikit-learn
2025-02-02,2008762.0,scikit-learn
2025-02-03,2927465.0,scikit-learn
2025-02-04,3138556.0,scikit-learn
2025-02-05,3137164.0,scikit-learn
2025-02-06,3059090.0,scikit-learn
2025-02-07,3002370.0,scikit-learn
2025-02-08,2074938.0,scikit-learn
2025-02-09,2104908.0,scikit-learn
2025-02-10,3007175.0,scikit-learn
2025-02-11,2976773.0,scikit-learn
2025-02-12,3085275.0,scikit-learn
2025-02-13,3066038.0,scikit-learn
2025-02-15,1923780.0,scikit-learn
2025-02-16,2000944.0,scikit-learn
2025-02-17,2762549.0,scikit-learn
2025-02-18,3154000.0,scikit-learn
2025-02-19,3112475.0,scikit-learn
2025-02-20,3087498.0,scikit-learn
2025-02-21,2938435.0,scikit-learn
2025-02-22,2130750.0,scikit-learn
2025-02-23,1976254.0,scikit-learn
2025-02-24,3067233.0,scikit-learn
2025-02-26,3226451.0,scikit-learn
2025-02-27,3332530.0,scikit-learn
2025-02-28,2963400.0,scikit-learn
2025-03-01,2121172.0,scikit-learn
2025-03-02,2026589.0,scikit-learn
2025-03-03,3081985.0,scikit-learn
2025-03-04,3358067.0,scikit-learn
