date,downloads,library
2025-01-30,2796454,scikit-learn
2025-01-31,2738462,scikit-learn
2025-02-01,2017251,scikit-learn
2025-02-02,2008762,scikit-learn
2025-02-03,2927465,scikit-learn
2025-02-04,3138556,scikit-learn
2025-02-05,3137164,scikit-learn
2025-02-06,3059090,scikit-learn
2025-02-07,3002370,scikit-learn
2025-02-08,2074938,scikit-learn
2025-02-09,2104908,scikit-learn
2025-02-10,3007175,scikit-learn
2025-02-11,2976773,scikit-learn
2025-02-12,3085275,scikit-learn
2025-02-13,3066038,scikit-learn
2025-02-14,2809412,scikit-learn
2025-02-15,1923780,scikit-learn
2025-02-16,2000944,scikit-learn
2025-02-17,2762549,scikit-learn
2025-02-18,3154000,scikit-learn
2025-02-19,3112475,scikit-learn
2025-02-20,3087498,scikit-learn
2025-02-21,2938435,scikit-learn
2025-02-22,2130750,scikit-learn
2025-02-23,1976254,scikit-learn
2025-02-24,3067233,scikit-learn
2025-02-25,3304771,scikit-learn
2025-02-26,3226451,scikit-learn
2025-02-27,3332530,scikit-learn
2025-02-28,2963400,scikit-learn
2025-03-01,2121172,scikit-learn
2025-03-02,2026589,scikit-learn
2025-03-03,3081985,scikit-learn
2025-03-04,3358067,scikit-learn
2025-03-05,3375250,scikit-learn
2025-03-06,3334980,scikit-learn
2025-03-07,3425271,scikit-learn
2025-03-08,2052838,scikit-learn
2025-03-09,2105487,scikit-learn
2025-03-10,3232918,scikit-learn
2025-03-11,3358328,scikit-learn
2024-12-13,3746782,flask
2024-12-14,2581342,flask
2024-12-15,2525399,flask
2024-12-16,3886805,flask
2024-12-17,4040953,flask
2024-12-18,3923374,flask
2024-12-19,3810750,flask
2024-12-20,3496356,flask
2024-12-21,2389102,flask
2024-12-22,2392302,flask
2024-12-23,3165286,flask
2024-12-24,2776964,flask
2024-12-25,2346656,flask
2024-12-26,2688801,flask
2024-12-27,2716611,flask
2024-12-28,2234442,flask
2024-12-29,2280622,flask
2024-12-30,2889046,flask
2024-12-31,2627091,flask
2025-01-01,2324044,flask
2025-01-02,3118130,flask
2025-01-03,3102298,flask
2025-01-04,2361008,flask
2025-01-05,2257811,flask
2025-01-06,3367325,flask
2025-01-07,3690562,flask
2025-01-08,3739034,flask
2025-01-09,3705454,flask
2025-01-10,3673966,flask
2025-01-11,2344553,flask
2025-01-12,2317543,flask
2025-01-13,3642714,flask
2025-01-14,3794251,flask
2025-01-15,3802832,flask
2025-01-16,3790768,flask
2025-01-17,3915223,flask
2025-01-18,2371690,flask
2025-01-19,2281384,flask
2025-01-20,3294978,flask
2025-01-21,3767352,flask
2025-01-22,3933328,flask
2025-01-23,3733889,flask
2025-01-24,3489364,flask
2025-01-25,2288748,flask
2025-01-26,2254826,flask
2025-01-27,3562560,flask
2025-01-28,3878652,flask
2025-01-29,3682100,flask
2025-01-30,3595803,flask
2025-01-31,3363125,flask
2025-02-01,2315175,flask
2025-02-02,2228948,flask
2025-02-03,3615582,flask
2025-02-04,3943759,flask
2025-02-05,3797778,flask
2025-02-06,3803407,flask
2025-02-07,3626764,flask
2025-02-08,2414631,flask
2025-02-09,2101602,flask
2025-02-10,3742002,flask
2025-02-11,3884910,flask
2025-02-12,4031958,flask
2025-02-13,3841819,flask
2025-02-14,3585705,flask
2025-02-15,2270860,flask
2025-02-16,2184727,flask
2025-02-17,3346162,flask
2025-02-18,3803784,flask
2025-02-19,3847843,flask
2025-02-20,3823567,flask
2025-02-21,3772307,flask
2025-02-22,2415468,flask
2025-02-23,2249396,flask
2025-02-24,3821553,flask
2025-02-25,4027966,flask
2025-02-26,4001912,flask
2025-02-27,4028253,flask
2025-02-28,3640281,flask
2025-03-01,2511779,flask
2025-03-02,2289563,flask
2025-03-03,3678403,flask
2025-03-04,3997562,flask
2025-03-05,4124336,flask
2025-03-06,4109272,flask
2025-03-07,4022413,flask
2025-03-08,2478359,flask
2025-03-09,2293258,flask
2025-03-10,3945954,flask
2025-03-11,4010159,flask
2024-12-13,643884,django
2024-12-14,284424,django
2024-12-15,292812,django
2024-12-16,710613,django
2024-12-17,733310,django
2024-12-18,697562,django
2024-12-19,683068,django
2024-12-20,593523,django
2024-12-21,288279,django
2024-12-22,280686,django
2024-12-23,553082,django
2024-12-24,427038,django
2024-12-25,308253,django
2024-12-26,405383,django
2024-12-27,419152,django
2024-12-28,278380,django
2024-12-29,269800,django
2024-12-30,452575,django
2024-12-31,373044,django
2025-01-01,282195,django
2025-01-02,525595,django
2025-01-03,500969,django
2025-01-04,280114,django
2025-01-05,285575,django
2025-01-06,644422,django
2025-01-07,688162,django
2025-01-08,691718,django
2025-01-09,687488,django
2025-01-10,660930,django
2025-01-11,288576,django
2025-01-12,292220,django
2025-01-13,713061,django
2025-01-14,775891,django
2025-01-15,854636,django
2025-01-16,834771,django
2025-01-17,721934,django
2025-01-18,304563,django
2025-01-19,316176,django
2025-01-20,704261,django
2025-01-21,777515,django
2025-01-22,809625,django
2025-01-23,821064,django
2025-01-24,706149,django
2025-01-25,327899,django
2025-01-26,313770,django
2025-01-27,783278,django
2025-01-28,975219,django
2025-01-29,817142,django
2025-01-30,795748,django
2025-01-31,692921,django
2025-02-01,408780,django
2025-02-02,389325,django
2025-02-03,893697,django
2025-02-04,987862,django
2025-02-05,942035,django
2025-02-06,933329,django
2025-02-07,855954,django
2025-02-08,436125,django
2025-02-09,443517,django
2025-02-10,897457,django
2025-02-11,860683,django
2025-02-12,879858,django
2025-02-13,827516,django
2025-02-14,745173,django
2025-02-15,344124,django
2025-02-16,335510,django
2025-02-17,754246,django
2025-02-18,837757,django
2025-02-19,830405,django
2025-02-20,822946,django
2025-02-21,795504,django
2025-02-22,403462,django
2025-02-23,338492,django
2025-02-24,838618,django
2025-02-25,883644,django
2025-02-26,854898,django
2025-02-27,853080,django
2025-02-28,757877,django
2025-03-01,392323,django
2025-03-02,348043,django
2025-03-03,826981,django
2025-03-04,837504,django
2025-03-05,830036,django
2025-03-06,886282,django
2025-03-07,841570,django
2025-03-08,352666,django
2025-03-09,337213,django
2025-03-10,854265,django
2025-03-11,865588,django
2024-12-13,687320,tensorflow
2024-12-14,501261,tensorflow
2024-12-15,489521,tensorflow
2024-12-16,686783,tensorflow
2024-12-17,734854,tensorflow
2024-12-18,755460,tensorflow
2024-12-19,712515,tensorflow
2024-12-20,651252,tensorflow
2024-12-21,500169,tensorflow
2024-12-22,498100,tensorflow
2024-12-23,638445,tensorflow
2024-12-24,579885,tensorflow
2024-12-25,514249,tensorflow
2024-12-26,555387,tensorflow
2024-12-27,577757,tensorflow
2024-12-28,498969,tensorflow
2024-12-29,458290,tensorflow
2024-12-30,584520,tensorflow
2024-12-31,512016,tensorflow
2025-01-01,507966,tensorflow
2025-01-02,640731,tensorflow
2025-01-03,622693,tensorflow
2025-01-04,566213,tensorflow
2025-01-05,528290,tensorflow
2025-01-06,757894,tensorflow
2025-01-07,704998,tensorflow
2025-01-08,803107,tensorflow
2025-01-09,672331,tensorflow
2025-01-10,655591,tensorflow
2025-01-11,584014,tensorflow
2025-01-12,515368,tensorflow
2025-01-13,708695,tensorflow
2025-01-14,735463,tensorflow
2025-01-15,688154,tensorflow
2025-01-16,709940,tensorflow
2025-01-17,783553,tensorflow
2025-01-18,614366,tensorflow
2025-01-19,557698,tensorflow
2025-01-20,628234,tensorflow
2025-01-21,736369,tensorflow
2025-01-22,837082,tensorflow
2025-01-23,798254,tensorflow
